route_id,agency_id,route_short_name,route_long_name,route_type
355,PMPML,200,Alandi to Shewalewadi Depot (UP),3
352,PMPML,19,Yewalewadi to Swargate (DOWN),3
351,PMPML,19,Swargate to Yewalewadi (UP),3
1262,PMPML,19C,Swargate to K J Collage (UP),3
1043,PMPML,99A,Kothrud Depot to Deccan Gymkhana (DOWN),3
632,PMPML,323A,Ma Na Pa Main Stand to Gharkul Vasahat Chikhali (DOWN),3
346,PMPML,199,Kothrud Depot to Shewalewadi Depot (DOWN),3
334,PMPML,194,Pune Station Depot to Vadachi Wadi (DOWN),3
331,PMPML,193,Khutbav Gaon to Hadapsar Gadital Solapur Road (UP),3
97,PMPML,126D,Khadki Bazar to Pimple Nilakh (DOWN),3
328,PMPML,192,Hadapsar Gadital to Vadachi Wadi (DOWN),3
602,PMPML,313C,Balewadi Depot to Chinchwadgaon (DOWN),3
1266,PMPML,332,Tata Motors Bebadohal to Nigdi Pawale Chowk (UP),3
1142,PMPML,RATRANI 4,Pune Station St. Helena'S Stand to Hadapsar Gadital (UP),3
1209,PMPML,190B,Hadapsar Gadital to Wadkigaon (DOWN),3
764,PMPML,362A,Ycm Hospital to Alandi (UP),3
1208,PMPML,190B,Wadkigaon to Hadapsar Gadital (UP),3
248,PMPML,165,Ma Na Pa Dengle Pul to Vadgaon Sheri (DOWN),3
324,PMPML,189,Hadapsar Gadital to Dhangar Vasti (DOWN),3
657,PMPML,330,Alandi to Talegaon Dhabhade Maruti Mandir (DOWN),3
323,PMPML,189,Dhangar Vasti to Hadapsar Gadital (UP),3
148,PMPML,140,Pune Station Jayprakash Stand to Upper Depot (UP),3
397,PMPML,212,Hadapsar Gadital to Morgaon St Stand (DOWN),3
321,PMPML,188,Katraj Kondhwa Road to Hadapsar Gadital (UP),3
877,PMPML,51,Shivaji Nagar to Dsk Vishwa (DOWN),3
748,PMPML,359A,Rajguru Nagar Low Collage to Pimplegurav (UP),3
315,PMPML,185,Kesnand Phata Wagholi to Hadapsar Gadital Solapur Road (UP),3
103,PMPML,12,Upper Depot to Shivaji Nagar (DOWN),3
524,PMPML,293,Saswad to Balaji Nagar Corner Satara Road (UP),3
80,PMPML,123,Nigdi Bhakti Shakti to Ma Na Pa Main Stand (UP),3
314,PMPML,184,Hadapsar Gadital Solapur Road to Ramdara (DOWN),3
1277,PMPML,57B,Pune Station Jayprakash Stand to Suncity (DOWN),3
523,PMPML,292,Balaji Nagar Corner Satara Road to Kondhanpur (DOWN),3
551,PMPML,2,Shivaji Nagar to Swargate (UP),3
898,PMPML,59,Niljyoti Society to Shanipar Stand (UP),3
1,PMPML,100A,Blue Ritz Society Circle to Ma Na Pa Dengle Pul Nadikathi (UP),3
311,PMPML,183,Kesnand Phata Wagholi to Hadapsar Gadital Solapur Road (UP),3
304,PMPML,181,Na Ta Wadi to Kondhwa Budruk (DOWN),3
633,PMPML,323,Nageshwar Vidyalaya Chikhli to Ma Na Pa Main Stand (UP),3
262,PMPML,167,Bhekrai Nagar to Kesnand Phata Wagholi (DOWN),3
297,PMPML,17,Narhegaon to Shivaji Nagar (UP),3
1257,PMPML,171A,Kedgaon Chaufula to Nhavare (DOWN),3
1207,PMPML,17B,Swargate to Shivaji Nagar (DOWN),3
605,PMPML,314,Chakan Ambethan Chowk to Nigdi Pawale Chowk (UP),3
1304,PMPML,METRO SHUTTLE 3,Ganpati Matha to Vanaj  Metro Station (DOWN),3
296,PMPML,17A,Swargate to Narhegaon (DOWN),3
173,PMPML,148AB,Bhekrai Nagar to Bhosari Terminal (DOWN),3
294,PMPML,179,Hadapsar Gadital to Lohegaon Khandoba Mal (DOWN),3
765,PMPML,362A,Alandi to Ycm Hospital (DOWN),3
293,PMPML,179,Lohegaon Khandoba Mal to Hadapsar Gadital (UP),3
292,PMPML,177,Pune Station Depot to Bhangire Nagar Mahamadwadi (DOWN),3
366,PMPML,204,Bhekrai Nagar to Chinchwadgaon Aundh Road (DOWN),3
